web-scraper-order;web-scraper-start-url;pagelink;pagelink-href;Name;Price;Mileage;Fuel;Power;Registration;ccm;Adress
1562433024-10;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;15NewLand Rover Land Rover Range Rover Sport 3.0 SDV6 HSE Auto€28,900Calculate financingIncreased priceFR 06/2012, 88.938 km, 188 kW (256 Hp)SUV / Off-road Vehicle / Pickup Truck, Accident-free, Diesel, Automatic transmission, 4/5 Doors≈ 8,8 l/100km (comb.), ≈ 230 g CO₂/km (comb.)AUTOCROCETTA SPA – Filiale Romano CanaveseIT-10090 Romano Canavese, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=280915328&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport 3.0 SDV6 HSE Auto;€ 28,90;88.938 km;Diesel;188 kW (256 Hp);juin-12;2.993 ccm;Via Scarmagno 22 IT-10090 Romano Canavese
1562432910-5;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;11Land Rover LAND ROVER Range Rover Sport Range Rover Sport 5€28,500Calculate financingFair priceFR 10/2011, 83.000 km, 375 kW (510 Hp)SUV / Off-road Vehicle / Pickup Truck, Accident-free, Petrol, Automatic transmission, 4/5 Doors≈ 14,9 l/100km (comb.), ≈ 348 g CO₂/km (comb.)CR CAR SERVICEIT-20137 Milano, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=271386601&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport Range Rover Sport 5;€ 28,50;83.000 km;Petrol;375 kW (510 Hp);oct-11;4.999 ccm;Via Simone D'Orsenigo 5 IT-20137 Milano
1562433043-11;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;17Land Rover Range Rover Sport Supercharged AHK Navi Automati€29,480Calculate financingVery good priceFR 04/2010, 91.262 km, 375 kW (510 Hp)SUV / Off-road Vehicle / Pickup Truck, Accident-free, Petrol, Automatic transmission, HU 02/2021, 4/5 Doors≈ 14,9 l/100km (comb.), ≈ 348 g CO₂/km (comb.)Gevelsberger Autohaus(51)DE-58285 Gevelsberg, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=280630452&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport Supercharged AHK Navi Automati;€ 29,48;91.262 km;Petrol;375 kW (510 Hp);avr-10;5.000 ccm;Hagener Str. 112-114 DE-58285 Gevelsberg
1562432941-6;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;14Land Rover Range Rover Sport SDV6 HSE, Approved Garantie!€28,900Calculate financingGood priceFR 06/2013, 96.000 km, 188 kW (256 Hp)SUV / Off-road Vehicle / Pickup Truck, Accident-free, Diesel, Automatic transmission, HU New, 4/5 Doors≈ 8,8 l/100km (comb.), ≈ 233 g CO₂/km (comb.)Berendsen Automobilhandelsgesellschaft mbH(48)DE-22851 Hamburg-Norderstedt, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=278820968&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport SDV6 HSE, Approved Garantie!;€ 28,90;96.000 km;Diesel;188 kW (256 Hp);juin-13;2.993 ccm;Segeberger Chaussee 228 DE-22851 Hamburg-Norderstedt
1562433125-15;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;15Land Rover Range Rover Sport TDV6 HSE€29,900Calculate financingVery good priceFR 07/2014, 77.023 km, 183 kW (249 Hp)SUV / Off-road Vehicle / Pickup Truck, Accident-free, Diesel, Automatic transmission, HU New, 4/5 Doors≈ 6,9 l/100km (comb.), ≈ 182 g CO₂/km (comb.)AUTOBAZARNV s.r.o.(7)CZ-59214 Nové Veselí, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=274839121&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport TDV6 HSE;€ 29,90;77.023 km;Diesel;183 kW (249 Hp);juil-14;2.993 ccm;Zdarska 311 CZ-59214 Nové Veselí
1562433136-16;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;16Land Rover LAND ROVER Range Rover Sport 3.0 SDV6 Autobiogra€29,900Calculate financingIncreased priceFR 10/2012, 95.000 km, 183 kW (249 Hp)Other, Accident-free, Diesel, Automatic transmission, 4/5 Doors≈ 8,8 l/100km (comb.), ≈ 230 g CO₂/km (comb.)IDEAL-CAR.NET SRLIT-22070 SENNA COMASCO, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=276116158&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport 3.0 SDV6 Autobiogra;€ 29,90;95.000 km;Diesel;183 kW (249 Hp);oct-12;2.993 ccm;VIA ROMA, 21 IT-22070 SENNA COMASCO
1562433104-14;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;15Land Rover Range Rover Sport SDV6 HSE 87.800 KM !!!!!!!€29,890Calculate financingFair priceFR 09/2012, 87.800 km, 188 kW (256 Hp)SUV / Off-road Vehicle / Pickup Truck, Accident-free, Diesel, Automatic transmission, 4/5 Doors≈ 8,8 l/100km (comb.), ≈ 233 g CO₂/km (comb.)SD Automobile since 1995(18)DE-28879 Grasberg, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=280459781&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport SDV6 HSE 87.800 KM !!!!!!!;€ 29,89;87.800 km;Diesel;188 kW (256 Hp);sept-12;2.993 ccm;Wörpedorfer-Ring 6 DE-28879 Grasberg
1562433001-9;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;15NewLand Rover LAND ROVER Range Rover Sport 3.0 SDV6 HSE Auto€28,900Calculate financingIncreased priceFR 06/2012, 88.938 km, 188 kW (256 Hp)Other, Accident-free, Diesel, Automatic transmission, 4/5 Doors≈ 8,8 l/100km (comb.), ≈ 230 g CO₂/km (comb.)Autocrocetta SpaIT-10024 Moncalieri, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=280889089&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport 3.0 SDV6 HSE Auto;€ 28,90;88.938 km;Diesel;188 kW (256 Hp);juin-12;2.993 ccm;Corso Trieste 140 IT-10024 Moncalieri
1562432972-7;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;15Land Rover Range Rover Sport HSE Luxury€28,900Calculate financingNo ratingFR 07/2012, 52.950 km, 276 kW (375 Hp)SUV / Off-road Vehicle / Pickup Truck, Petrol, Automatic transmissionBRC, SIA(19)LV-1063 Riga, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=279000445&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport HSE Luxury;€ 28,90;52.950 km;Petrol;276 kW (375 Hp);juil-12;4.999 ccm;Maskavas Street 463 LV-1063 Riga
1562432991-8;https://suchen.mobile.de/fahrzeuge/search.html?damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED;15Land Rover Range Rover Sport Autobiography Supercharged€28,900Calculate financingVery good priceFR 10/2011, 72.000 km, 375 kW (510 Hp)SUV / Off-road Vehicle / Pickup Truck, Petrol, Automatic transmission, HU 05/2021, 4/5 Doors≈ 14,9 l/100km (comb.), ≈ 348 g CO₂/km (comb.)VG Automobile(1)DE-86368 Gersthofen, DealerInsurance, LeasingParkedParkContact;https://suchen.mobile.de/fahrzeuge/details.html?id=280106356&damageUnrepaired=NO_DAMAGE_UNREPAIRED&isSearchRequest=true&makeModelVariant1.makeId=14800&makeModelVariant1.modelId=6&maxMileage=100000&maxPrice=30000&minFirstRegistrationDate=2009&pageNumber=1&scopeId=C&sfmr=false&sortOption.sortBy=searchNetGrossPrice&sortOption.sortOrder=DESCENDING&usage=USED&searchId=446bcc8b-d260-9d10-f7e0-ae70d93cc219;Land Rover Range Rover Sport Autobiography Supercharged;€ 28,90;72.000 km;Petrol;375 kW (510 Hp);oct-11;5.000 ccm;Thyssenstr. 41 DE-86368 Gersthofen
